Capacity (kW),Year,Model,Price (BDT)
5.5,2025,FR-E720-5.5K / FR-E820-240-5-60 (24.0A),"72,000"
5.5,2024,FR-E840-5.5K-1 (12A),"72,500"
5.5,2025,FR-E740-5.5K / FR-E840-120-5-60 (12.0A),"61,800"
5.5,2024,FR-F820-5.5K-1 (25A),"65,500"
5.5,2025,FR-F820-5.5K-1 (23.0A),"88,800"
5.5,2024,FR-F840-5.5K-1 (12.6A),"74,500"
5.5,2025,FR-F840-5.5K-1 (11.5A),"98,200"
5.5,2024,FR-A820-5.5K-1 (34A),"88,000"
5.5,2025,FR-A820-5.5K-1 (24.0A),"125,300"
5.5,2024,FR-A840-5.5K-1 (17A),"1,04,500"
5.5,2025,FR-A840-5.5K-1 (12.0A),"130,300"
7.5,2024,FR-D720-7.5K (31.8A),"63,000"
7.5,2025,FR-D720-7.5K / FR-D820-7.5K-318-60 (31.8A),"80,700"
7.5,2024,FR-D740-7.5K (16A),"63,000"
7.5,2025,FR-D740-7.5K / FR-D840-7.5K-160-NA (16.0A),"70,100"
7.5,2024,FR-E820-7.5K-1 (33A),"73,000"
7.5,2025,FR-E720-7.5K / FR-E820-330-5-60 (33.0A),"81,000"
7.5,2024,FR-E840-7.5K-1 (17A),"79,500"
7.5,2025,FR-E740-7.5K / FR-E840-170-5-60 (17.0A),"75,250"
7.5,2024,FR-F820-7.5K-1 (34A),"82,000"
7.5,2025,FR-F820-7.5K-1 (31.0A),"116,200"
7.5,2024,FR-F840-7.5K-1 (17A),"99,500"
7.5,2025,FR-F840-7.5K-1 (16.0A),"130,400"
7.5,2024,FR-A820-7.5K-1 (49A),"1,00,000"
7.5,2025,FR-A820-7.5K-1 (33.0A),"138,800"
7.5,2024,FR-A840-7.5K-1 (25A),"1,10,000"
7.5,2025,FR-A840-7.5K-1 (17.0A),"143,800"
11.0,2024,FR-D720-11K (45A),"94,500"
11.0,2025,FR-D720-11K (45.0A),"137,000"
11.0,2024,FR-D740-11K (23A),"98,000"
11.0,2025,FR-D740-11K (23.0A),"121,200"
11.0,2024,FR-E820-11K-1 (47A),"98,000"
11.0,2025,FR-E720-11K / FR-E820-470-5-60 (47.0A),"143,600"
11.0,2024,FR-E840-11K-1 (23A),"1,01,000"
11.0,2025,FR-E740-11K / FR-E840-230-5-60 (23.0A),"123,800"
11.0,2024,FR-F820-11K-1 (49A),"1,02,500"
11.0,2025,FR-F820-11K-1 (45.0A),"120,100"
11.0,2024,FR-F840-11K-1 (25A),"1,08,000"
11.0,2025,FR-F840-11K-1 (23.0A),"144,400"
11.0,2024,FR-A820-11K-1 (63A),"1,12,500"
11.0,2025,FR-A820-11K-1 (46.0A),"165,700"
11.0,2024,FR-A840-11K-1 (31A),"1,18,000"
11.0,2025,FR-A840-11K-1 (23.0A),"166,100"
15.0,2024,FR-D720-15K (58A),"97,500"
15.0,2025,FR-D720-15K (58.0A),"152,700"
15.0,2024,FR-D740-15K (29.5A),"1,03,000"
15.0,2025,FR-D740-15K (29.5A),"123,100"
15.0,2024,FR-E820-15K-1 (60A),"1,05,000"
15.0,2025,FR-E720-15K / FR-E820-600-5-60 (60.0A),"146,300"
15.0,2024,FR-E840-15K-1 (30A),"1,06,500"
15.0,2025,FR-E740-15K / FR-E840-300-5-60 (30.0A),"125,900"
15.0,2024,FR-F820-15K-1 (63A),"1,12,500"
15.0,2025,FR-F820-15K-1 (58.0A),"142,200"
15.0,2024,FR-F840-15K-1 (31A),"1,14,500"
15.0,2025,FR-F840-15K-1 (29.0A),"154,000"
15.0,2024,FR-A820-15K-1 (77A),"1,29,500"
15.0,2025,FR-A820-15K-1 (61.0A),"218,800"
15.0,2024,FR-A840-15K-1 (38A),"1,26,000"
15.0,2025,FR-A840-15K-1 (31.0A),"210,700"
18.5,2024,FR-F840-18.5K-1 (38A),"1,17,500"
18.5,2025,FR-F840-18.5K-1 (35.0A),"158,300"
18.5,2024,FR-A840-18.5K-1 (47A),"1,42,000"
18.5,2025,FR-A840-18.5K-1 (38.0A),"234,400"
22.0,2024,FR-F840-22K-1 (47A),"1,42,000"
22.0,2025,FR-F840-22K-1 (43.0A),"236,900"
22.0,2024,FR-A840-22K-1 (62A),"1,73,000"
