SL#,Model,Capacity (kW),Series,List_2024,List_2025,COGS_2024,COGS_2025,Gross_Profit_at_Base,Margin_%_at_Base,Disc_15%,Disc_20%,Disc_25%,Disc_30%,Disc_35%
61,FR-E840-0.75K-1-60,0.75,E,,,,30556.2,,,,,,,
62,FR-F820-0.75K-1,0.75,F,,,,50469.8,,,,,,,
63,FR-F820-0.75K-1 (4.2A),0.75,F,,78800.0,,,,,66980.0,63040.0,59100.0,55160.0,51220.0
64,FR-F820-0.75K-1 (4.6A),0.75,F,48500.0,,,,,,41225.0,38800.0,36375.0,33950.0,31525.0
65,FR-F840-0.75K-1,0.75,F,,,,52438.3,,,,,,,
66,FR-F840-0.75K-1 (2.1A),0.75,F,,81900.0,,,,,69615.0,65520.0,61425.0,57330.0,53235.0
67,FR-F840-0.75K-1 (2.3A),0.75,F,58000.0,,,,,,49300.0,46400.0,43500.0,40600.0,37700.0
68,FR-F840-0.75K-E1,0.75,F,,,,52438.3,,,,,,,
69,FR-A820-0.75K-1,0.75,A,,,,53340.0,,,,,,,
70,FR-A820-0.75K-1 (5.0A),0.75,A,,83300.0,,,,,70805.0,66640.0,62475.0,58310.0,54145.0
71,FR-A820-0.75K-1 (7.7A),0.75,A,52000.0,,,,,,44200.0,41600.0,39000.0,36400.0,33800.0
72,FR-A840-0.75K-1,0.75,A,,,,53327.3,,,,,,,
73,FR-A840-0.75K-1 (2.5A),0.75,A,,83300.0,,,,,70805.0,66640.0,62475.0,58310.0,54145.0
74,FR-A840-0.75K-1 (3.8A),0.75,A,61500.0,,,,,,52275.0,49200.0,46125.0,43050.0,39975.0
75,FR-A840-0.75K-1-R2R,0.75,A,,,,58661.3,,,,,,,
76,103 || MITSUBISHI VFD || FR-D720S-1.5K,1.5,D,,,24161.55,,,,,,,,
77,410 || MITSUBISHI VFD || FR-D740-1.5K,1.5,D,,,172707.82,,,,,,,,
78,FR-D720-1.5K (7A),1.5,D,23500.0,,,,,,19975.0,18800.0,17625.0,16450.0,15275.0
79,FR-D720-1.5K / FR-D820-1.5K-070-60 (7.0A),1.5,D,,34100.0,,,,,28985.0,27280.0,25575.0,23870.0,22165.0
80,FR-D720S-1.5K / FR-D720S-070-NA (7.0A),1.5,D,25500.0,,,,,,21675.0,20400.0,19125.0,17850.0,16575.0
81,FR-D720S-1.5K / FR-D820S-1.5K-070-NA (7.0A),1.5,D,,39700.0,,,,,33745.0,31760.0,29775.0,27790.0,25805.0
82,FR-D740-1.5K (3.6A),1.5,D,30500.0,,,,,,25925.0,24400.0,22875.0,21350.0,19825.0
83,FR-D740-1.5K / FR-D840-1.5K-036-NA (3.6A),1.5,D,,37400.0,,,,,31790.0,29920.0,28050.0,26180.0,24310.0
84,FR-D820-1.5K-070-60,1.5,D,,,,21831.3,,,,,,,
85,FR-D820S-1.5K-070-60,1.5,D,,,,25400.0,,,,,,,
86,FR-D840-1.5K-037-60,1.5,D,,,,23952.2,,,,,,,
87,115 || MITSUBISHI VFD || FR-E720-1.5K,1.5,E,,,55989.22,,,,,,,,
88,412 || MITSUBISHI VFD || FR-E840-1.5K-1,1.5,E,,,53076.86,,,,,,,,
89,FR-E720-1.5K / FR-E820-080-5-60 (8.0A),1.5,E,,37100.0,,,,,31535.0,29680.0,27825.0,25970.0,24115.0
90,FR-E740-1.5K / FR-E840-040-5-60 (4.0A),1.5,E,,43900.0,,,,,37315.0,35120.0,32925.0,30730.0,28535.0
91,FR-E820-1.5K-1,1.5,E,,,,23736.3,,,,,,,
92,FR-E820-1.5K-1 (8A),1.5,E,31000.0,,,,,,26350.0,24800.0,23250.0,21700.0,20150.0
93,FR-E820S-1.5K-1,1.5,E,,,,32054.8,,,,,,,
94,FR-E840-1.5K-1,1.5,E,,,,28092.4,,,,,,,
95,FR-E840-1.5K-1 (4A),1.5,E,37500.0,,,,,,31875.0,30000.0,28125.0,26250.0,24375.0
96,FR-E840-1.5K-1-60,1.5,E,,,,33705.8,,,,,,,
97,FR-F820-1.5K-1,1.5,F,,,,51333.4,,,,,,,
98,FR-F820-1.5K-1 (7.0A),1.5,F,,80200.0,,,,,68170.0,64160.0,60150.0,56140.0,52130.0
99,FR-F820-1.5K-1 (7.7A),1.5,F,49500.0,,,,,,42075.0,39600.0,37125.0,34650.0,32175.0
100,FR-F840-1.5K-1,1.5,F,,,,58661.3,,,,,,,
101,FR-F840-1.5K-1 (3.5A),1.5,F,,91600.0,,,,,77860.0,73280.0,68700.0,64120.0,59540.0
102,FR-F840-1.5K-1 (3.8A),1.5,F,58500.0,,,,,,49725.0,46800.0,43875.0,40950.0,38025.0
103,FR-F840-1.5K-E1,1.5,F,,,,58661.3,,,,,,,
104,FR-A820-1.5K-1,1.5,A,,,,56476.9,,,,,,,
105,FR-A820-1.5K-1 (10.5A),1.5,A,54500.0,,,,,,46325.0,43600.0,40875.0,38150.0,35425.0
106,FR-A820-1.5K-1 (8.0A),1.5,A,,88200.0,,,,,74970.0,70560.0,66150.0,61740.0,57330.0
107,FR-A840-1.5K-1,1.5,A,,,,58915.3,,,,,,,
108,FR-A840-1.5K-1 (4.0A),1.5,A,,92000.0,,,,,78200.0,73600.0,69000.0,64400.0,59800.0
109,FR-A840-1.5K-1 (5.2A),1.5,A,66500.0,,,,,,56525.0,53200.0,49875.0,46550.0,43225.0
110,FR-A840-1.5K-1-R2R,1.5,A,,,,65405.0,,,,,,,
111,104 || MITSUBISHI VFD || FR-D720S-2.2K,2.2,D,,,224299.64,,,,,,,,
112,119 || MITSUBISHI VFD || FR-D720-2.2K,2.2,D,,,83508.47,,,,,,,,
113,415 || MITSUBISHI VFD || FR-D740-2.2K,2.2,D,,,207495.91,,,,,,,,
114,FR-D720-2.2K (10A),2.2,D,28000.0,,,,,,23800.0,22400.0,21000.0,19600.0,18200.0
115,FR-D720-2.2K / FR-D820-2.2K-100-60 (10.0A),2.2,D,,36800.0,,,,,31280.0,29440.0,27600.0,25760.0,23920.0
116,FR-D720S-2.2K / FR-D720S-100-NA (10A),2.2,D,30500.0,,,,,,25925.0,24400.0,22875.0,21350.0,19825.0
117,FR-D720S-2.2K / FR-D820S-2.2K-100-NA (10.0A),2.2,D,,43900.0,,,,,37315.0,35120.0,32925.0,30730.0,28535.0
118,FR-D740-2.2K (5A),2.2,D,37000.0,,,,,,31450.0,29600.0,27750.0,25900.0,24050.0
119,FR-D740-2.2K / FR-D840-2.2K-050-NA (5.0A),2.2,D,,42900.0,,,,,36465.0,34320.0,32175.0,30030.0,27885.0
120,FR-D820-2.2K-100-60,2.2,D,,,,23571.2,,,,,,,
121,FR-D820S-2.2K-100-60,2.2,D,,,,28092.4,,,,,,,
122,FR-D840-2.2K-050-60,2.2,D,,,,27482.8,,,,,,,
123,121 || MITSUBISHI VFD || FR-E820-2.2K-1,2.2,E,,,289249.62,,,,,,,,
124,416 || MITSUBISHI VFD || FR-E740-2.2K,2.2,E,,,0.0,,,,,,,,
125,417 || MITSUBISHI VFD || FR-E840-2.2K-1,2.2,E,,,555447.36,,,,,,,,
126,FR-E720-2.2K / FR-E820-110-5-60 (11.0A),2.2,E,,38000.0,,,,,32300.0,30400.0,28500.0,26600.0,24700.0
127,FR-E740-2.2K / FR-E840-060-5-60 (6.0A),2.2,E,,47600.0,,,,,40460.0,38080.0,35700.0,33320.0,30940.0
128,FR-E820-2.2K-1,2.2,E,,,,24345.9,,,,,,,
129,FR-E820-2.2K-1 (11A),2.2,E,33500.0,,,,,,28475.0,26800.0,25125.0,23450.0,21775.0
130,FR-E820S-2.2K-1,2.2,E,,,,41846.5,,,,,,,
131,FR-E840-2.2K-1,2.2,E,,,,30505.4,,,,,,,
132,FR-E840-2.2K-1 (6A),2.2,E,41000.0,,,,,,34850.0,32800.0,30750.0,28700.0,26650.0
133,FR-E840-2.2K-1-60,2.2,E,,,,36601.4,,,,,,,
134,FR-F820-2.2K-1,2.2,F,,,,54203.6,,,,,,,
135,FR-F820-2.2K-1 (10.5A),2.2,F,57500.0,,,,,,48875.0,46000.0,43125.0,40250.0,37375.0
136,FR-F820-2.2K-1 (9.6A),2.2,F,,84600.0,,,,,71910.0,67680.0,63450.0,59220.0,54990.0
137,FR-F840-2.2K-1,2.2,F,,,,59245.5,,,,,,,
138,FR-F840-2.2K-1 (4.8A),2.2,F,,92500.0,,,,,78625.0,74000.0,69375.0,64750.0,60125.0
139,FR-F840-2.2K-1 (5.2A),2.2,F,59000.0,,,,,,50150.0,47200.0,44250.0,41300.0,38350.0
140,FR-F840-2.2K-E1,2.2,F,,,,65405.0,,,,,,,
141,419 || MITSUBISHI VFD || FR-A840-2.2K-1,2.2,A,,,147528.13,,,,,,,,
142,FR-A820-2.2K-1,2.2,A,,,,59613.8,,,,,,,
143,FR-A820-2.2K-1 (11.0A),2.2,A,,93100.0,,,,,79135.0,74480.0,69825.0,65170.0,60515.0
144,FR-A820-2.2K-1 (16.7A),2.2,A,59500.0,,,,,,50575.0,47600.0,44625.0,41650.0,38675.0
145,FR-A840-2.2K-1,2.2,A,,,,61442.6,,,,,,,
146,FR-A840-2.2K-1 (6.0A),2.2,A,,96000.0,,,,,81600.0,76800.0,72000.0,67200.0,62400.0
147,FR-A840-2.2K-1 (8.3A),2.2,A,70000.0,,,,,,59500.0,56000.0,52500.0,49000.0,45500.0
148,FR-A840-2.2K-1-R2R,2.2,A,,,,74650.6,,,,,,,
149,124 || MITSUBISHI VFD || FR-D720-3.7K,3.7,D,,,53043.62,,,,,,,,
150,420 || MITSUBISHI VFD || FR-D740-3.7K,3.7,D,,,263861.6,,,,,,,,
151,FR-D720-3.7K (16.5A),3.7,D,39000.0,,,,,,33150.0,31200.0,29250.0,27300.0,25350.0
152,FR-D720-3.7K / FR-D820-3.7K-165-60 (16.5A),3.7,D,,41500.0,,,,,35275.0,33200.0,31125.0,29050.0,26975.0
153,FR-D740-3.7K (8A),3.7,D,44000.0,,,,,,37400.0,35200.0,33000.0,30800.0,28600.0
154,FR-D740-3.7K / FR-D840-3.7K-080-NA (8.0A),3.7,D,,46800.0,,,,,39780.0,37440.0,35100.0,32760.0,30420.0
155,FR-D820-3.7K-165-60,3.7,D,,,,26568.4,,,,,,,
156,FR-D840-3.7K-081-60,3.7,D,,,,29997.4,,,,,,,
157,126 || MITSUBISHI VFD || FR-E820-3.7K-1,3.7,E,,,116914.97,,,,,,,,
158,421 || MITSUBISHI VFD || FR-E740-3.7K,3.7,E,,,0.0,,,,,,,,
159,422 || MITSUBISHI VFD || FR-E840-3.7K-1,3.7,E,,,151736.6,,,,,,,,
160,FR-E720-3.7K / FR-E820-175-5-60 (17.5A),3.7,E,,45600.0,,,,,38760.0,36480.0,34200.0,31920.0,29640.0
161,FR-E740-3.7K / FR-E840-095-5-60 (9.5A),3.7,E,,50330.0,,,,,42780.5,40264.0,37747.5,35231.0,32714.5
162,FR-E820-3.7K-1,3.7,E,,,,29210.0,,,,,,,
163,FR-E820-3.7K-1 (17.5A),3.7,E,47500.0,,,,,,40375.0,38000.0,35625.0,33250.0,30875.0
164,FR-E840-3.7K-1,3.7,E,,,,32219.9,,,,,,,
165,FR-E840-3.7K-1 (9.5A),3.7,E,48500.0,,,,,,41225.0,38800.0,36375.0,33950.0,31525.0
166,FR-E840-3.7K-1-60,3.7,E,,,,38671.5,,,,,,,
167,423 || MITSUBISHI VFD || FR-F840-3.7K-1,3.7,F,,,0.0,,,,,,,,
168,FR-F820-3.7K-1,3.7,F,,,,55333.9,,,,,,,
169,FR-F820-3.7K-1 (15.2A),3.7,F,,86400.0,,,,,73440.0,69120.0,64800.0,60480.0,56160.0
170,FR-F820-3.7K-1 (16.7A),3.7,F,59500.0,,,,,,50575.0,47600.0,44625.0,41650.0,38675.0
171,FR-F840-3.7K-1,3.7,F,,,,61785.5,,,,,,,
172,FR-F840-3.7K-1 (7.6A),3.7,F,,96500.0,,,,,82025.0,77200.0,72375.0,67550.0,62725.0
173,FR-F840-3.7K-1 (8.3A),3.7,F,72000.0,,,,,,61200.0,57600.0,54000.0,50400.0,46800.0
174,FR-F840-3.7K-E1,3.7,F,,,,69215.0,,,,,,,
175,128 || MITSUBISHI VFD || FR-A820-3.7K-1,3.7,A,,,200062.67,,,,,,,,
176,424 || MITSUBISHI VFD || FR-A840-3.7K-1,3.7,A,,,228376.24,,,,,,,,
177,FR-A820-3.7K-1,3.7,A,,,,60921.9,,,,,,,
178,FR-A820-3.7K-1 (17.5A),3.7,A,,95200.0,,,,,80920.0,76160.0,71400.0,66640.0,61880.0
179,FR-A820-3.7K-1 (25A),3.7,A,63000.0,,,,,,53550.0,50400.0,47250.0,44100.0,40950.0
180,FR-A840-3.7K-1,3.7,A,,,,63868.3,,,,,,,
181,FR-A840-3.7K-1 (12.6A),3.7,A,77500.0,,,,,,65875.0,62000.0,58125.0,54250.0,50375.0
182,FR-A840-3.7K-1 (9.0A),3.7,A,,99800.0,,,,,84830.0,79840.0,74850.0,69860.0,64870.0
183,FR-A840-3.7K-1-R2R,3.7,A,,,,75539.6,,,,,,,
184,FR-D720-5.5K (23.8A),5.5,D,60500.0,,,,,,51425.0,48400.0,45375.0,42350.0,39325.0
185,FR-D720-5.5K / FR-D820-5.5K-238-60 (23.8A),5.5,D,,71700.0,,,,,60945.0,57360.0,53775.0,50190.0,46605.0
186,FR-D740-5.5K (12A),5.5,D,60500.0,,,,,,51425.0,48400.0,45375.0,42350.0,39325.0
187,FR-D740-5.5K / FR-D840-5.5K-120-NA (12.0A),5.5,D,,60600.0,,,,,51510.0,48480.0,45450.0,42420.0,39390.0
188,FR-D820-5.5K-238-60,5.5,D,,,,45910.5,,,,,,,
189,FR-D840-5.5K-120-60,5.5,D,,,,40030.4,,,,,,,
190,427 || MITSUBISHI VFD || FR-E840-5.5K-1,5.5,E,,,330973.14,,,,,,,,
191,FR-E720-5.5K / FR-E820-240-5-60 (24.0A),5.5,E,,72000.0,,,,,61200.0,57600.0,54000.0,50400.0,46800.0
192,FR-E740-5.5K / FR-E840-120-5-60 (12.0A),5.5,E,,61800.0,,,,,52530.0,49440.0,46350.0,43260.0,40170.0
193,FR-E820-5.5K-1,5.5,E,,,,46113.7,,,,,,,
194,FR-E820-5.5K-1 (24A),5.5,E,62000.0,,,,,,52700.0,49600.0,46500.0,43400.0,40300.0
195,FR-E840-5.5K-1,5.5,E,,,,39573.2,,,,,,,
