SL#,Model,Capacity (kW),Series,List_2024,List_2025,COGS_2024,COGS_2025,Gross_Profit_at_Base,Margin_%_at_Base,Disc_15%,Disc_20%,Disc_25%,Disc_30%,Disc_35%
262,FR-F840-11K-1 (25A),11.0,F,108000.0,,,,,,91800.0,86400.0,81000.0,75600.0,70200.0
263,FR-F840-11K-E1,11.0,F,,,,90271.6,,,,,,,
264,439 || MITSUBISHI VFD || FR-A840-11K-1,11.0,A,,,335952.88,,,,,,,,
265,FR-A820-11K-1,11.0,A,,,,106159.3,,,,,,,
266,FR-A820-11K-1 (46.0A),11.0,A,,165700.0,,,,,140845.0,132560.0,124275.0,115990.0,107705.0
267,FR-A820-11K-1 (63A),11.0,A,112500.0,,,,,,95625.0,90000.0,84375.0,78750.0,73125.0
268,FR-A840-11K-1,11.0,A,,,,106337.1,,,,,,,
269,FR-A840-11K-1 (23.0A),11.0,A,,166100.0,,,,,141185.0,132880.0,124575.0,116270.0,107965.0
270,FR-A840-11K-1 (31A),11.0,A,118000.0,,,,,,100300.0,94400.0,88500.0,82600.0,76700.0
271,FR-A840-11K-1-R2R,11.0,A,,,,110375.7,,,,,,,
272,FR-D720-15K,15.0,D,,,,97764.6,,,,,,,
273,FR-D720-15K (58.0A),15.0,D,,152700.0,,,,,129795.0,122160.0,114525.0,106890.0,99255.0
274,FR-D720-15K (58A),15.0,D,97500.0,,,,,,82875.0,78000.0,73125.0,68250.0,63375.0
275,FR-D740-15K,15.0,D,,,,105067.1,,,,,,,
276,FR-D740-15K (29.5A),15.0,D,103000.0,123100.0,,,,,104635.0,98480.0,92325.0,86170.0,80015.0
277,441 || MITSUBISHI VFD || FR-E740-15K,15.0,E,,,116137.68,,,,,,,,
278,442 || MITSUBISHI VFD || FR-E840-15K-1,15.0,E,,,435419.58,,,,,,,,
279,FR-E720-15K / FR-E820-600-5-60 (60.0A),15.0,E,,146300.0,,,,,124355.0,117040.0,109725.0,102410.0,95095.0
280,FR-E740-15K / FR-E840-300-5-60 (30.0A),15.0,E,,125900.0,,,,,107015.0,100720.0,94425.0,88130.0,81835.0
281,FR-E820-15K-1,15.0,E,,,,93649.8,,,,,,,
282,FR-E820-15K-1 (60A),15.0,E,105000.0,,,,,,89250.0,84000.0,78750.0,73500.0,68250.0
283,FR-E840-15K-1,15.0,E,,,,78676.5,,,,,,,
284,FR-E840-15K-1 (30A),15.0,E,106500.0,,,,,,90525.0,85200.0,79875.0,74550.0,69225.0
285,FR-F820-15K-1,15.0,F,,,,91059.0,,,,,,,
286,FR-F820-15K-1 (58.0A),15.0,F,,142200.0,,,,,120870.0,113760.0,106650.0,99540.0,92430.0
287,FR-F820-15K-1 (63A),15.0,F,112500.0,,,,,,95625.0,90000.0,84375.0,78750.0,73125.0
288,FR-F840-15K-1,15.0,F,,,,99212.4,,,,,,,
289,FR-F840-15K-1 (29.0A),15.0,F,,154000.0,,,,,130900.0,123200.0,115500.0,107800.0,100100.0
290,FR-F840-15K-1 (31A),15.0,F,114500.0,,,,,,97325.0,91600.0,85875.0,80150.0,74425.0
291,FR-F840-15K-E1,15.0,F,,,,105918.0,,,,,,,
292,444 || MITSUBISHI VFD || FR-A840-15K-1,15.0,A,,,1287173.86,,,,,,,,
293,444_01 || MITSUBISHI VFD || FR-A840-15K-1 || PEC,15.0,A,,,0.0,,,,,,,,
294,FR-A820-15K-1,15.0,A,,,,140068.3,,,,,,,
295,FR-A820-15K-1 (61.0A),15.0,A,,218800.0,,,,,185980.0,175040.0,164100.0,153160.0,142220.0
296,FR-A820-15K-1 (77A),15.0,A,129500.0,,,,,,110075.0,103600.0,97125.0,90650.0,84175.0
297,FR-A840-15K-1,15.0,A,,,,134874.0,,,,,,,
298,FR-A840-15K-1 (31.0A),15.0,A,,210700.0,,,,,179095.0,168560.0,158025.0,147490.0,136955.0
299,FR-A840-15K-1 (38A),15.0,A,126000.0,,,,,,107100.0,100800.0,94500.0,88200.0,81900.0
300,FR-A840-15K-1-R2R,15.0,A,,,,112534.7,,,,,,,
301,FR-E840-18.5K-1,18.5,E,,,,119494.3,,,,,,,
302,445 || MITSUBISHI VFD || FR-F840-18.5K-1,18.5,F,,,627981.1,,,,,,,,
303,FR-F820-18.5K-1,18.5,F,,,,132676.9,,,,,,,
304,FR-F840-18.5K-1,18.5,F,,,,101371.4,,,,,,,
305,FR-F840-18.5K-1 (35.0A),18.5,F,,158300.0,,,,,134555.0,126640.0,118725.0,110810.0,102895.0
306,FR-F840-18.5K-1 (38A),18.5,F,117500.0,,,,,,99875.0,94000.0,88125.0,82250.0,76375.0
307,FR-F840-18.5K-E1,18.5,F,,,,111836.2,,,,,,,
308,446_01 || MITSUBISHI VFD || FR-A840-18.5K-1 (PEC),18.5,A,,,200000.0,,,,,,,,
309,FR-A840-18.5K-1,18.5,A,,,,150025.1,,,,,,,
310,FR-A840-18.5K-1 (38.0A),18.5,A,,234400.0,,,,,199240.0,187520.0,175800.0,164080.0,152360.0
311,FR-A840-18.5K-1 (47A),18.5,A,142000.0,,,,,,120700.0,113600.0,106500.0,99400.0,92300.0
312,FR-A840-18.5K-1-R2R,18.5,A,,,,162852.1,,,,,,,
313,FR-E840-22K-1,22.0,E,,,,120738.9,,,,,,,
314,447 || MITSUBISHI VFD || FR-F840-22K-1,22.0,F,,,276662.31,,,,,,,,
315,FR-F820-22K-1,22.0,F,,,,150380.7,,,,,,,
316,FR-F840-22K-1,22.0,F,,,,151676.1,,,,,,,
317,FR-F840-22K-1 (43.0A),22.0,F,,236900.0,,,,,201365.0,189520.0,177675.0,165830.0,153985.0
318,FR-F840-22K-1 (47A),22.0,F,142000.0,,,,,,120700.0,113600.0,106500.0,99400.0,92300.0
319,FR-F840-22K-E1,22.0,F,,,,158508.7,,,,,,,
320,448 || MITSUBISHI VFD || FR-A840-22K-1,22.0,A,,,4872135.04,,,,,,,,
321,FR-A840-22K-1,22.0,A,,,,150990.3,,,,,,,
322,FR-A840-22K-1 (44.0A),22.0,A,,235800.0,,,,,200430.0,188640.0,176850.0,165060.0,153270.0
323,FR-A840-22K-1 (62A),22.0,A,173000.0,,,,,,147050.0,138400.0,129750.0,121100.0,112450.0
324,FR-A840-22K-1-R2R,22.0,A,,,,163804.6,,,,,,,
325,449 || MITSUBISHI VFD || FR-F840-30K-1,30.0,F,,,1429231.3,,,,,,,,
326,FR-F820-30K-1,30.0,F,,,,151257.0,,,,,,,
327,FR-F840-30K-1,30.0,F,,,,152615.9,,,,,,,
328,FR-F840-30K-1 (57.0A),30.0,F,,238400.0,,,,,202640.0,190720.0,178800.0,166880.0,154960.0
329,FR-F840-30K-1 (62A),30.0,F,177000.0,,,,,,150450.0,141600.0,132750.0,123900.0,115050.0
330,FR-F840-30K-E1,30.0,F,,,,159461.2,,,,,,,
331,450 || MITSUBISHI VFD || FR-A840-30K-1,30.0,A,,,2511304.52,,,,,,,,
332,FR-A840-30K-1,30.0,A,,,,194132.2,,,,,,,
333,FR-A840-30K-1 (57.0A),30.0,A,,303300.0,,,,,257805.0,242640.0,227475.0,212310.0,197145.0
334,FR-A840-30K-1 (77A),30.0,A,230500.0,,,,,,195925.0,184400.0,172875.0,161350.0,149825.0
335,FR-A840-30K-1-R2R,30.0,A,,,,212585.3,,,,,,,
336,451 || MITSUBISHI VFD || FR-F840-37K-1,37.0,F,,,224019.27,,,,,,,,
337,FR-F820-37K-1,37.0,F,,,,202425.3,,,,,,,
338,FR-F840-37K-1,37.0,F,,,,195414.9,,,,,,,
339,FR-F840-37K-1 (70.0A),37.0,F,,305200.0,,,,,259420.0,244160.0,228900.0,213640.0,198380.0
340,FR-F840-37K-1 (77A),37.0,F,217000.0,,,,,,184450.0,173600.0,162750.0,151900.0,141050.0
341,FR-F840-37K-E1,37.0,F,,,,205778.1,,,,,,,
342,452 || MITSUBISHI VFD || FR-A840-37K-1,37.0,A,,,664699.25,,,,,,,,
343,FR-A840-37K-1,37.0,A,,,,254152.4,,,,,,,
344,FR-A840-37K-1 (71.0A),37.0,A,,397000.0,,,,,337450.0,317600.0,297750.0,277900.0,258050.0
345,FR-A840-37K-1 (93A),37.0,A,266500.0,,,,,,226525.0,213200.0,199875.0,186550.0,173225.0
346,FR-A840-37K-1-R2R,37.0,A,,,,272935.7,,,,,,,
347,453 || MITSUBISHI VFD || FR-F840-45K-1,45.0,F,,,131419.03,,,,,,,,
348,FR-F820-45K-1,45.0,F,,,,271640.3,,,,,,,
349,FR-F840-45K-1,45.0,F,,,,260819.9,,,,,,,
350,FR-F840-45K-1 (85.0A),45.0,F,,407400.0,,,,,346290.0,325920.0,305550.0,285180.0,264810.0
351,FR-F840-45K-1 (93A),45.0,F,289000.0,,,,,,245650.0,231200.0,216750.0,202300.0,187850.0
352,FR-F840-45K-E1,45.0,F,,,,272097.5,,,,,,,
353,454 || MITSUBISHI VFD || FR-A840-45K-1,45.0,A,,,156883.22,,,,,,,,
354,FR-A840-45K-1,45.0,A,,,,256692.4,,,,,,,
355,FR-A840-45K-1 (116A),45.0,A,314000.0,,,,,,266900.0,251200.0,235500.0,219800.0,204100.0
356,FR-A840-45K-1 (86.0A),45.0,A,,400900.0,,,,,340765.0,320720.0,300675.0,280630.0,260585.0
357,FR-A840-45K-1-R2R,45.0,A,,,,275475.7,,,,,,,
358,455 || MITSUBISHI VFD || FR-F840-55K-1,55.0,F,,,421486.39,,,,,,,,
359,FR-F820-55K-1,55.0,F,,,,277393.4,,,,,,,
360,FR-F840-55K-1,55.0,F,,,,263347.2,,,,,,,
361,FR-F840-55K-1 (106.0A),55.0,F,,411400.0,,,,,349690.0,329120.0,308550.0,287980.0,267410.0
362,FR-F840-55K-1 (116A),55.0,F,325000.0,,,,,,276250.0,260000.0,243750.0,227500.0,211250.0
363,FR-F840-55K-E1,55.0,F,,,,274637.5,,,,,,,
364,456 || MITSUBISHI VFD || FR-A840-55K-1,55.0,A,,,3406302.34,,,,,,,,
365,FR-A840-55K-1,55.0,A,,,,298107.1,,,,,,,
366,FR-A840-55K-1 (110.0A),55.0,A,,465700.0,,,,,395845.0,372560.0,349275.0,325990.0,302705.0
367,FR-A840-55K-1 (180A),55.0,A,371500.0,,,,,,315775.0,297200.0,278625.0,260050.0,241475.0
368,FR-A840-55K-1-R2R,55.0,A,,,,315290.2,,,,,,,
369,457 || MITSUBISHI VFD || FR-F840-75K-1,75.0,F,,,583346.17,,,,,,,,
370,FR-F820-75K-1,75.0,F,,,,435813.2,,,,,,,
371,FR-F840-75K-1,75.0,F,,,,300443.9,,,,,,,
372,FR-F840-75K-1 (144.0A),75.0,F,,481300.0,,,,,409105.0,385040.0,360975.0,336910.0,312845.0
373,FR-F840-75K-1 (180A),75.0,F,423000.0,,,,,,359550.0,338400.0,317250.0,296100.0,274950.0
374,FR-F840-75K-E1,75.0,F,,,,309219.6,,,,,,,
375,458 || MITSUBISHI VFD || FR-A840-75K-1,75.0,A,,,512109.63,,,,,,,,
376,FR-A840-75K-1,75.0,A,,,,381419.1,,,,,,,
377,FR-A840-75K-1 (144.0A),75.0,A,,624400.0,,,,,530740.0,499520.0,468300.0,437080.0,405860.0
378,FR-A840-75K-1 (216A),75.0,A,540000.0,,,,,,459000.0,432000.0,405000.0,378000.0,351000.0
379,FR-A840-75K-1-R2R,75.0,A,,,,399948.4,,,,,,,
380,FR-F820-90K-1,90.0,F,,,,598398.6,,,,,,,
381,FR-F840-90K-1,90.0,F,,,,389610.6,,,,,,,
382,FR-F840-90K-1 (180.0A),90.0,F,,624200.0,,,,,530570.0,499360.0,468150.0,436940.0,405730.0
383,FR-F840-90K-1 (216A),90.0,F,548000.0,,,,,,465800.0,438400.0,411000.0,383600.0,356200.0
384,FR-F840-90K-E1,90.0,F,,,,397002.0,,,,,,,
385,460 || MITSUBISHI VFD || FR-A840-90K-1,90.0,A,,,2614537.22,,,,,,,,
386,FR-A840-90K-1,90.0,A,,,,404304.5,,,,,,,
387,FR-A840-90K-1 (180.0A),90.0,A,,661900.0,,,,,562615.0,529520.0,496425.0,463330.0,430235.0
388,FR-A840-90K-1 (260A),90.0,A,633000.0,,,,,,538050.0,506400.0,474750.0,443100.0,411450.0
389,FR-A840-90K-1-R2R,90.0,A,,,,422821.1,,,,,,,
390,461 || MITSUBISHI VFD || FR-F840-110K-1,110.0,F,,,1787622.53,,,,,,,,
391,FR-F820-110K-1,110.0,F,,,,620064.8,,,,,,,
392,FR-F840-110K-1,110.0,F,,,,412496.0,,,,,,,
393,FR-F840-110K-1 (216.0A),110.0,F,,660800.0,,,,,561680.0,528640.0,495600.0,462560.0,429520.0
394,FR-F840-110K-1 (260A),110.0,F,579500.0,,,,,,492575.0,463600.0,434625.0,405650.0,376675.0
395,FR-F840-110K-E1,110.0,F,,,,419887.4,,,,,,,
396,FR-A840-110K-1,110.0,A,,,,641781.8,,,,,,,
397,FR-A840-110K-1 (216.0A),110.0,A,,1050700.0,,,,,893095.0,840560.0,788025.0,735490.0,682955.0
398,FR-A840-110K-1 (325A),110.0,A,679000.0,,,,,,577150.0,543200.0,509250.0,475300.0,441350.0
399,FR-A840-110K-1-R2R,110.0,A,,,,652919.7,,,,,,,
400,463 || MITSUBISHI VFD || FR-F840-132K-1,132.0,F,,,663912.22,,,,,,,,
401,FR-F840-132K-1,132.0,F,,,,643394.7,,,,,,,
402,FR-F840-132K-1 (260.0A),132.0,F,,1030800.0,,,,,876180.0,824640.0,773100.0,721560.0,670020.0
403,FR-F840-132K-1 (325A),132.0,F,678500.0,,,,,,576725.0,542800.0,508875.0,474950.0,441025.0
404,FR-F840-132K-E1,132.0,F,,,,646760.2,,,,,,,
405,464 || MITSUBISHI VFD || FR-A840-132K-1,132.0,A,,,0.0,,,,,,,,
406,FR-A840-132K-1,132.0,A,,,,685152.3,,,,,,,
407,FR-A840-132K-1 (260.0A),132.0,A,,1121600.0,,,,,953360.0,897280.0,841200.0,785120.0,729040.0
408,FR-A840-132K-1 (361A),132.0,A,772500.0,,,,,,656625.0,618000.0,579375.0,540750.0,502125.0
409,FR-A840-132K-1-R2R,132.0,A,,,,698919.1,,,,,,,
410,465 || MITSUBISHI VFD || FR-F840-160K-1,160.0,F,,,1162014.48,,,,,,,,
411,FR-F840-160K-1,160.0,F,,,,686752.5,,,,,,,
412,FR-F840-160K-1 (325.0A),160.0,F,,1100300.0,,,,,935255.0,880240.0,825225.0,770210.0,715195.0
413,FR-F840-160K-1 (361A),160.0,F,790000.0,,,,,,671500.0,632000.0,592500.0,553000.0,513500.0
414,FR-F840-160K-E1,160.0,F,,,,697992.0,,,,,,,
415,FR-A840-160K-1,160.0,A,,,,1010018.3,,,,,,,
416,FR-A840-160K-1 (325.0A),160.0,A,,1653500.0,,,,,1405475.0,1322800.0,1240125.0,1157450.0,1074775.0
417,FR-A840-160K-1 (432A),160.0,A,1298500.0,,,,,,1103725.0,1038800.0,973875.0,908950.0,844025.0
418,FR-A840-160K-1-R2R,160.0,A,,,,1020737.1,,,,,,,
419,FR-F840-185K-1,185.0,F,,,,1011631.2,,,,,,,
420,FR-F840-185K-1 (361.0A),185.0,F,,1620700.0,,,,,1377595.0,1296560.0,1215525.0,1134490.0,1053455.0
421,FR-F840-185K-1 (432A),185.0,F,1168000.0,,,,,,992800.0,934400.0,876000.0,817600.0,759200.0
422,FR-F840-185K-E1,185.0,F,,,,1019924.3,,,,,,,
423,468 || MITSUBISHI VFD || FR-A840-185K-1,185.0,A,,,1440107.56,,,,,,,,
424,FR-A840-185K-1,185.0,A,,,,1019746.5,,,,,,,
425,FR-A840-185K-1 (361.0A),185.0,A,,1669500.0,,,,,1419075.0,1335600.0,1252125.0,1168650.0,1085175.0
426,FR-A840-185K-1 (481A),185.0,A,1307500.0,,,,,,1111375.0,1046000.0,980625.0,915250.0,849875.0
427,FR-A840-185K-1-R2R,185.0,A,,,,1030465.3,,,,,,,
428,FR-F840-220K-1,220.0,F,,,,1021359.4,,,,,,,
429,FR-F840-220K-1 (432.0A),220.0,F,,1636400.0,,,,,1390940.0,1309120.0,1227300.0,1145480.0,1063660.0
430,FR-F840-220K-1 (481A),220.0,F,1238500.0,,,,,,1052725.0,990800.0,928875.0,866950.0,805025.0
431,FR-F840-220K-E1,220.0,F,,,,1029652.5,,,,,,,
432,470 || MITSUBISHI VFD || FR-A840-220K-1,220.0,A,,,862406.06,,,,,,,,
433,FR-A840-220K-1,220.0,A,,,,1376362.5,,,,,,,
434,FR-A840-220K-1 (432.0A),220.0,A,,2253000.0,,,,,1915050.0,1802400.0,1689750.0,1577100.0,1464450.0
435,FR-A840-220K-1 (547A),220.0,A,1607000.0,,,,,,1365950.0,1285600.0,1205250.0,1124900.0,1044550.0
436,FR-A840-220K-1-R2R,220.0,A,,,,1387170.2,,,,,,,
437,FR-F840-250K-1,250.0,F,,,,1377975.4,,,,,,,
438,FR-F840-250K-1 (481.0A),250.0,F,,2207700.0,,,,,1876545.0,1766160.0,1655775.0,1545390.0,1435005.0
439,FR-F840-250K-1 (547A),250.0,F,1632000.0,,,,,,1387200.0,1305600.0,1224000.0,1142400.0,1060800.0
440,FR-F840-250K-E1,250.0,F,,,,1386268.5,,,,,,,
441,472 || MITSUBISHI VFD || FR-A840-250K-1,250.0,A,,,902386.23,,,,,,,,
442,FR-A840-250K-1,250.0,A,,,,1470266.3,,,,,,,
443,FR-A840-250K-1 (481.0A),250.0,A,,2407000.0,,,,,2045950.0,1925600.0,1805250.0,1684900.0,1564550.0
444,FR-A840-250K-1 (610A),250.0,A,1728000.0,,,,,,1468800.0,1382400.0,1296000.0,1209600.0,1123200.0
445,FR-A840-250K-1-R2R,250.0,A,,,,1481061.3,,,,,,,
446,473 || MITSUBISHI VFD || FR-F840-280K-1,280.0,F,,,1550099.7,,,,,,,,
447,FR-F840-280K-1,280.0,F,,,,1471879.2,,,,,,,
448,FR-F840-280K-1 (547.0A),280.0,F,,2358000.0,,,,,2004300.0,1886400.0,1768500.0,1650600.0,1532700.0
449,FR-F840-280K-1 (610A),280.0,F,1716500.0,,,,,,1459025.0,1373200.0,1287375.0,1201550.0,1115725.0
450,FR-F840-280K-E1,280.0,F,,,,1480172.3,,,,,,,
451,474 || MITSUBISHI VFD || FR-A840-280K-1,280.0,A,,,945367.08,,,,,,,,
452,FR-A840-280K-1,280.0,A,,,,1493570.8,,,,,,,
453,FR-A840-280K-1 (547.0A),280.0,A,,2445200.0,,,,,2078420.0,1956160.0,1833900.0,1711640.0,1589380.0
454,FR-A840-280K-1 (683A),280.0,A,1816500.0,,,,,,1544025.0,1453200.0,1362375.0,1271550.0,1180725.0
455,FR-A840-280K-1-R2R,280.0,A,,,,1504365.8,,,,,,,
456,FR-F840-315K-1,315.0,F,,,,1495171.0,,,,,,,
457,FR-F840-315K-1 (610.0A),315.0,F,,2395500.0,,,,,2036175.0,1916400.0,1796625.0,1676850.0,1557075.0
458,FR-F840-315K-1 (683A),315.0,F,1811000.0,,,,,,1539350.0,1448800.0,1358250.0,1267700.0,1177150.0
459,FR-F840-315K-E1,315.0,F,,,,1503451.4,,,,,,,
460,FR-A840-315K-1 (770A),315.0,A,2108000.0,,,,,,1791800.0,1686400.0,1581000.0,1475600.0,1370200.0
461,FR-A842-315K-1,315.0,A,,,,2349500.0,,,,,,,
462,FR-A842-315K-1 (610.0A),315.0,A,,5285400.0,,,,,4492590.0,4228320.0,3964050.0,3699780.0,3435510.0
463,FR-F840-355K-1 (770A),355.0,F,2388000.0,,,,,,2029800.0,1910400.0,1791000.0,1671600.0,1552200.0
464,FR-F842-355K-1,355.0,F,,,,1436814.5,,,,,,,
465,FR-A840-355K-1 (866A),355.0,A,2448500.0,,,,,,2081225.0,1958800.0,1836375.0,1713950.0,1591525.0
466,FR-A842-355K-1,355.0,A,,,,2968155.1,,,,,,,
467,FR-A842-355K-1 (683.0A),355.0,A,,6672500.0,,,,,5671625.0,5338000.0,5004375.0,4670750.0,4337125.0
468,FR-F840-400K-1 (866A),400.0,F,2765500.0,,,,,,2350675.0,2212400.0,2074125.0,1935850.0,1797575.0
469,FR-F842-400K-1,400.0,F,,,,1494116.9,,,,,,,
470,FR-A840-400K-1 (962A),400.0,A,2908500.0,,,,,,2472225.0,2326800.0,2181375.0,2035950.0,1890525.0
471,FR-A842-400K-1,400.0,A,,,,3436467.6,,,,,,,
472,FR-F842-450K-1,450.0,F,,,,1968766.7,,,,,,,
473,FR-A842-450K-1,450.0,A,,,,3993261.0,,,,,,,
474,FR-F842-500K-1,500.0,F,,,,2091766.2,,,,,,,
475,FR-A842-500K-1,500.0,A,,,,1971357.5,,,,,,,
476,FR-F842-560K-1,560.0,F,,,,2241181.7,,,,,,,
477,FR-E820-0008-5-60,,E,,,,21336.0,,,,,,,
478,FR-E820-0015-5-60,,E,,,,23101.3,,,,,,,
479,FR-E820-0030-5-60,,E,,,,23799.8,,,,,,,
480,FR-E820-0050-5-60,,E,,,,24282.4,,,,,,,
481,FR-E820-0080-5-60,,E,,,,29578.3,,,,,,,
482,FR-E820-0110-5-60,,E,,,,31711.9,,,,,,,
483,FR-E820-0175-5-60,,E,,,,32613.6,,,,,,,
484,FR-E820-0240-5-60,,E,,,,48628.3,,,,,,,
485,FR-E820-0330-5-60,,E,,,,50050.7,,,,,,,
486,FR-E820-0470-5-60,,E,,,,95275.4,,,,,,,
487,FR-E820-0600-5-60,,E,,,,96989.9,,,,,,,
488,FR-E820-0760-5-60,,E,,,,124917.2,,,,,,,
489,FR-E820-0900-5-60,,E,,,,125869.7,,,,,,,
490,FR-E820S-0030-5-60,,E,,,,25819.1,,,,,,,
491,FR-E820S-0050-5-60,,E,,,,29286.2,,,,,,,
492,FR-E820S-0080-5-60,,E,,,,34518.6,,,,,,,
493,FR-E820S-0110-5-60,,E,,,,36779.2,,,,,,,
494,FR-E840-0016-5-60,,E,,,,31470.6,,,,,,,
495,FR-E840-0026-5-60,,E,,,,32867.6,,,,,,,
496,FR-E840-0040-5-60,,E,,,,33515.3,,,,,,,
497,FR-E840-0060-5-60,,E,,,,36093.4,,,,,,,
498,FR-E840-0095-5-60,,E,,,,37769.8,,,,,,,
499,FR-E840-0120-5-60,,E,,,,44234.1,,,,,,,
500,FR-E840-0170-5-60,,E,,,,45466.0,,,,,,,
501,FR-E840-0230-5-60,,E,,,,80670.4,,,,,,,
502,FR-E840-0300-5-60,,E,,,,82029.3,,,,,,,
503,FR-E840-0380-5-60,,E,,,,122618.5,,,,,,,
504,FR-E840-0440-5-60,,E,,,,123850.4,,,,,,,
505,FR-F840-00126-2-60,,F,,,,64541.4,,,,,,,
506,FR-F840-00170-2-60,,F,,,,88709.5,,,,,,,
507,FR-F840-00250-2-60,,F,,,,90271.6,,,,,,,
508,FR-F840-00310-2-60,,F,,,,111582.2,,,,,,,
509,FR-F840-00380-2-60,,F,,,,113741.2,,,,,,,
510,FR-F840-00470-2-60,,F,,,,161645.6,,,,,,,
511,FR-F840-00620-2-60,,F,,,,162610.8,,,,,,,
512,FR-F840-00770-2-60,,F,,,,199682.1,,,,,,,
513,FR-F840-00930-2-60,,F,,,,268643.1,,,,,,,
514,FR-F840-01160-2-60,,F,,,,271183.1,,,,,,,
515,FR-F840-01800-2-60,,F,,,,306920.9,,,,,,,
516,FR-F840-02160-2-60,,F,,,,393547.6,,,,,,,
517,FR-F840-02600-2-60,,F,,,,416433.0,,,,,,,
518,FR-F840-03250-2-60,,F,,,,650913.1,,,,,,,
519,FR-F840-03610-2-60,,F,,,,700163.7,,,,,,,
520,FR-A840-00126-2-60,,A,,,,67208.4,,,,,,,
521,FR-A840-00170-2-60,,A,,,,91757.5,,,,,,,
522,FR-A840-00250-2-60,,A,,,,93357.7,,,,,,,
523,FR-A840-00310-2-60,,A,,,,112928.4,,,,,,,
524,FR-A840-00380-2-60,,A,,,,115087.4,,,,,,,
525,FR-A840-00470-2-60,,A,,,,163042.6,,,,,,,
526,FR-A840-00620-2-60,,A,,,,163982.4,,,,,,,
527,FR-A840-00770-2-60,,A,,,,200939.4,,,,,,,
528,FR-A840-00930-2-60,,A,,,,260858.0,,,,,,,
529,FR-A840-01160-2-60,,A,,,,263385.3,,,,,,,
530,FR-A840-01800-2-60,,A,,,,305308.0,,,,,,,
531,FR-A840-02160-2-60,,A,,,,391198.1,,,,,,,
532,FR-A840-02600-2-60,,A,,,,414083.5,,,,,,,
533,FR-A840-03250-2-60,,A,,,,652310.1,,,,,,,
534,FR-A840-03610-2-60,,A,,,,693699.4,,,,,,,
535,FR-A840-04320-2-60,,A,,,,1025867.9,,,,,,,
536,458_01 || MITSUBISHI VFD || FR-HEL-H75K,,HEL,,,65404.78,,,,,,,,
537,460_01 || MITSUBISHI VFD || FR-HEL-H90K,,HEL,,,128789.32,,,,,,,,
538,462_01 || MITSUBISHI VFD || FR-HEL-H110K,,HEL,,,91317.8,,,,,,,,
539,463_01 || FR-HEL-H132K,,HEL,,,35584.96,,,,,,,,
540,465_01 || FR-HEL-H160K,,HEL,,,60250.39,,,,,,,,
541,468_01 || FR-HEL-H185K,,HEL,,,73685.02,,,,,,,,
542,469_01 || FR-HEL-H220K,,HEL,,,32123.58,,,,,,,,
543,472_01 || FR-HEL-H250K,,HEL,,,39855.65,,,,,,,,
544,474_01 || FR-HEL-H280K,,HEL,,,122368.43,,,,,,,,
545,FR-HEL-H0.4K,,HEL,,,,6362.7,,,,,,,
546,FR-HEL-H0.75K,,HEL,,,,6997.7,,,,,,,
547,FR-HEL-H1.5K,,HEL,,,,7835.9,,,,,,,
548,FR-HEL-H110K,,HEL,,139500.0,,85204.3,54295.7,38.92,118575.0,111600.0,104625.0,97650.0,90675.0
549,FR-HEL-H11K,,HEL,,,,16433.8,,,,,,,
550,FR-HEL-H132K,,HEL,,154800.0,,94526.1,60273.9,38.94,131580.0,123840.0,116100.0,108360.0,100620.0
551,FR-HEL-H15K,,HEL,,,,18910.3,,,,,,,
552,FR-HEL-H160K,,HEL,,169700.0,,103632.0,66068.0,38.93,144245.0,135760.0,127275.0,118790.0,110305.0
553,FR-HEL-H18.5K,,HEL,,,,22783.8,,,,,,,
554,FR-HEL-H185K,,HEL,,185900.0,,112890.3,73009.7,39.27,158015.0,148720.0,139425.0,130130.0,120835.0
555,FR-HEL-H2.2K,,HEL,,,,8623.3,,,,,,,
556,FR-HEL-H220K,,HEL,,192600.0,,117538.5,75061.5,38.97,163710.0,154080.0,144450.0,134820.0,125190.0
557,FR-HEL-H22K,,HEL,,,,25704.8,,,,,,,
558,FR-HEL-H250K,,HEL,,221200.0,,135051.8,86148.2,38.95,188020.0,176960.0,165900.0,154840.0,143780.0
559,FR-HEL-H280K,,HEL,,237400.0,,144983.2,92416.8,38.93,201790.0,189920.0,178050.0,166180.0,154310.0
560,FR-HEL-H3.7K,,HEL,,,,10134.6,,,,,,,
561,FR-HEL-H30K,,HEL,,,,27597.1,,,,,,,
562,FR-HEL-H315K,,HEL,,244400.0,,149415.5,94984.5,38.86,207740.0,195520.0,183300.0,171080.0,158860.0
563,FR-HEL-H355K,,HEL,,,,174891.7,,,,,,,
564,FR-HEL-H37K,,HEL,,,,31089.6,,,,,,,
565,FR-HEL-H45K,,HEL,,,,36487.1,,,,,,,
566,FR-HEL-H5.5K,,HEL,,,,13042.9,,,,,,,
567,FR-HEL-H55K,,HEL,,,,39484.3,,,,,,,
568,FR-HEL-H7.5K,,HEL,,,,13919.2,,,,,,,
569,FR-HEL-H75K,,HEL,,110500.0,,67500.5,42999.5,38.91,93925.0,88400.0,82875.0,77350.0,71825.0
570,FR-HEL-H90K,,HEL,,118000.0,,72326.5,45673.5,38.71,100300.0,94400.0,88500.0,82600.0,76700.0
571,FR-HEL-N280K,,HEL,,,,179298.6,,,,,,,
572,FR-HEL-N315K,,HEL,,,,194233.8,,,,,,,
