Model Name,COGS
FR-F840-55K-E1,"2,74,637.50"
FR-F840-75K-E1,"3,09,219.60"
FR-F840-90K-E1,"3,97,002.00"
FR-F840-110K-E1,"4,19,887.40"
FR-F840-132K-E1,"6,46,760.20"
FR-F840-160K-E1,"6,97,992.00"
FR-F840-185K-E1,"10,19,924.30"
FR-F840-220K-E1,"10,29,652.50"
FR-F840-250K-E1,"13,86,268.50"
FR-F840-280K-E1,"14,80,172.30"
FR-F840-315K-E1,"15,03,451.40"
FR-E820-0.4K-1,"19,177.00"
FR-E820-0.75K-1,"19,685.00"
FR-E820-1.5K-1,"23,736.30"
FR-E820-2.2K-1,"24,345.90"
FR-E820-3.7K-1,"29,210.00"
FR-E820-5.5K-1,"46,113.70"
FR-E820-7.5K-1,"51,879.50"
FR-E820-11K-1,"91,948.00"
FR-E820-15K-1,"93,649.80"
FR-E820-0.1K-1,"18,046.70"
FR-E820-0.2K-1,"18,148.30"
FR-F820-18.5K-1,"1,32,676.90"
FR-F820-30K-1,"1,51,257.00"
FR-F820-37K-1,"2,02,425.30"
FR-F820-45K-1,"2,71,640.30"
FR-F820-55K-1,"2,77,393.40"
FR-F820-75K-1,"4,35,813.20"
FR-F820-90K-1,"5,98,398.60"
FR-F820-110K-1,"6,20,064.80"
FR-E820S-0.1K-1,"19,570.70"
FR-E820S-0.2K-1,"19,824.70"
FR-E820S-0.4K-1,"23,012.40"
FR-E820S-0.75K-1,"27,597.10"
FR-E820S-1.5K-1,"32,054.80"
FR-E820S-2.2K-1,"41,846.50"
FR-E820-0008-5-60,"21,336.00"
FR-E820-0015-5-60,"23,101.30"
FR-E820-0030-5-60,"23,799.80"
FR-E820-0050-5-60,"24,282.40"
FR-E820-0080-5-60,"29,578.30"
FR-E820-0110-5-60,"31,711.90"
FR-E820-0175-5-60,"32,613.60"
FR-E820-0240-5-60,"48,628.30"
FR-E820-0330-5-60,"50,050.70"
FR-E820-0470-5-60,"95,275.40"
FR-E820-0600-5-60,"96,989.90"
FR-E820-0760-5-60,"1,24,917.20"
FR-E820-0900-5-60,"1,25,869.70"
FR-E820S-0030-5-60,"25,819.10"
FR-E820S-0050-5-60,"29,286.20"
FR-E820S-0080-5-60,"34,518.60"
FR-E820S-0110-5-60,"36,779.20"
FR-E840-0.4K-1,"25,336.50"
FR-E840-0.75K-1,"25,463.50"
FR-E840-1.5K-1,"28,092.40"
FR-E840-2.2K-1,"30,505.40"
FR-E840-3.7K-1,"32,219.90"
FR-E840-5.5K-1,"39,573.20"
FR-E840-7.5K-1,"48,171.10"
FR-E840-11K-1,"77,330.30"
FR-E840-15K-1,"78,676.50"
FR-E840-18.5K-1,"1,19,494.30"
FR-E840-22K-1,"1,20,738.90"
FR-E840-0.4K-1-60,"30,403.80"
FR-E840-0.75K-1-60,"30,556.20"
FR-E840-1.5K-1-60,"33,705.80"
FR-E840-2.2K-1-60,"36,601.40"
FR-E840-3.7K-1-60,"38,671.50"
FR-E840-5.5K-1-60,"47,485.30"
FR-E840-7.5K-1-60,"50,596.80"
FR-E840-11K-1-60,"92,798.90"
